announcementId,secCode,secName,orgId,title,publishTime,adjunctType,adjunctSize,adjunctUrl
1225015373,688678,福立旺,gfbj0839734,关于开展外汇套期保值业务的公告,1773763200000,PDF,191,finalpage/2026-03-18/1225015373.PDF
1225015340,688678,福立旺,gfbj0839734,中信证券股份有限公司关于福立旺精密机电（中国）股份有限公司开展外汇套期保值业务的核查意见,1773763200000,PDF,479,finalpage/2026-03-18/1225015340.PDF
1225015068,2912,中新赛克,9900033221,关于开展外汇套期保值业务的可行性分析报告,1773763200000,PDF,86,finalpage/2026-03-18/1225015068.PDF
1225015067,2912,中新赛克,9900033221,关于开展外汇套期保值业务的公告,1773763200000,PDF,105,finalpage/2026-03-18/1225015067.PDF
1225015032,688639,华恒生物,gfbj0831088,安徽华恒生物科技股份有限公司关于开展外汇套期保值业务的可行性分析报告,1773763200000,PDF,116,finalpage/2026-03-18/1225015032.PDF
1225015004,688639,华恒生物,gfbj0831088,安徽华恒生物科技股份有限公司关于开展外汇套期保值业务的公告,1773763200000,PDF,118,finalpage/2026-03-18/1225015004.PDF
1225014987,2213,大为股份,9900004184,关于开展商品期货期权套期保值业务的可行性分析报告,1773763200000,PDF,104,finalpage/2026-03-18/1225014987.PDF
1225014986,2213,大为股份,9900004184,关于开展外汇套期保值业务的可行性分析报告,1773763200000,PDF,102,finalpage/2026-03-18/1225014986.PDF
1225014983,2213,大为股份,9900004184,关于开展商品期货期权套期保值业务的公告,1773763200000,PDF,119,finalpage/2026-03-18/1225014983.PDF
1225014982,2213,大为股份,9900004184,关于开展外汇套期保值业务的公告,1773763200000,PDF,110,finalpage/2026-03-18/1225014982.PDF
1225014718,301076,新瀚新材,gfbj0834991,外汇套期保值业务管理制度（2026年3月）,1773763200000,PDF,122,finalpage/2026-03-18/1225014718.PDF
1225014714,301076,新瀚新材,gfbj0834991,关于开展外汇套期保值业务的可行性分析报告,1773763200000,PDF,105,finalpage/2026-03-18/1225014714.PDF
1225014713,301076,新瀚新材,gfbj0834991,关于开展外汇套期保值业务的公告,1773763200000,PDF,139,finalpage/2026-03-18/1225014713.PDF
1225014384,301023,奕帆传动,nssc1000381,套期保值业务管理制度,1773763200000,PDF,117,finalpage/2026-03-18/1225014384.PDF
1225014378,301023,奕帆传动,nssc1000381,开展大宗原材料期货套期保值业务的可行性报告,1773763200000,PDF,102,finalpage/2026-03-18/1225014378.PDF
1225014377,301023,奕帆传动,nssc1000381,关于开展大宗原材料期货套期保值业务的公告,1773763200000,PDF,117,finalpage/2026-03-18/1225014377.PDF
1225014177,2756,永兴材料,9900022998,关于开展以套期保值为目的的远期结售汇业务的可行性分析报告,1773763200000,PDF,98,finalpage/2026-03-18/1225014177.PDF
1225014176,2756,永兴材料,9900022998,关于开展期货及衍生品套期保值业务的可行性分析报告,1773763200000,PDF,110,finalpage/2026-03-18/1225014176.PDF
